Timestamp,Which college are you from?,City,Public/Private,CAPS,KEY,Education,  Is anyone from your family into Entrepreneurship?  ,Which year of college are you in currently? ,It’s easy to find the right mentor in college for my startup. ,My college and college clubs develop my entrepreneurial skills and abilities ,My institution has introduced courses in order to keep us in touch with growing wave of entrepreneurship in the country ,My family would support me if I shift my focus to unconventional or entrepreneurial activities ,If I decide to be an entrepreneur family support will be an important factor for me ,I’ll readily get mental and executional support from my peers for my venture ,It is easy for me to get funding for my startup from alumni or outside ,My country has created an ecosystem that enables young entrepreneurs to pursue their passion ,My college is located in a city which is active in entrepreneurship ,How likely are you to take up entrepreneurship as a career? ,diff_Q1,diff_Q2,diff_Q3,diff_Q4,diff_Q5,diff_Q6,diff_Q7,diff_Q8,diff_Q9,Educational,Relational,Structural,diff_Edu,diff_Rel,diff_Str
3-13-2023 15:44:10,Jamia Milia Islamia,Delhi,Public,Jamia Milia Islamia,1,"Engineering, Science, Management, Design and Humanities",Mother,2,1,1,1,1,5,3,1,2,5,2,1,1,1,1,-3,-1,1,0,-3,1,3,2.67,1,-1,-0.67
3-13-2023 15:43:09,Jamia Milia Islamia ,Delhi,Public,JAMIA MILIA ISLAMIA ,1,"Engineering, Science, Management, Design and Humanities",No One,3,1,1,1,1,1,3,1,2,4,1,0,0,0,0,0,-2,0,-1,-3,1,1.67,2.33,0,-0.67,-1.33
3-13-2023 16:05:43,Hindu college ,Delhi,Public,HINDU COLLEGE ,2,"Engineering, Science, Management, Design and Humanities",No One,2,3,4,2,1,5,3,4,2,5,1,-2,-3,-1,0,-4,-2,-3,-1,-4,3,3,3.67,-2,-2,-2.67
3-13-2023 16:06:36,Hindu College ,Delhi,Public,HINDU COLLEGE ,2,"Engineering, Science, Management, Design and Humanities",Father,4,3,4,2,5,5,5,5,3,5,5,2,1,3,0,0,0,0,2,0,3,5,4.33,2,0,0.67
3-13-2023 16:13:38,Anna University ,Chennai,Public,ANNA UNIVERSITY ,3,"Engineering, Science, Management, Design and Humanities",No One,1,2,2,1,3,5,1,4,3,2,1,-1,-1,0,-2,-4,0,-3,-2,-1,1.67,3,3,-0.67,-2,-2
3-13-2023 16:15:02,Anna University ,Chennai,Public,ANNA UNIVERSITY ,3,"Engineering, Science, Management, Design and Humanities",Sibling,3,2,3,2,5,5,5,5,3,1,3,1,0,1,-2,-2,-2,-2,0,2,2.33,5,3,0.67,-2,0
03-02-2023 07:05,BITS,Pilani,Private,BITS,4,"Engineering, Science, Management, Design and Humanities",No One,2,4,4,3,4,4,4,4,4,3,3,-1,-1,0,-1,-1,-1,-1,-1,0,3.67,4,3.67,-0.67,-1,-0.67
03-02-2023 07:04,Bits ,Pilani,Private,BITS ,4,"Engineering, Science, Management, Design and Humanities",Sibling,2,5,4,4,5,5,5,5,5,4,5,0,1,1,0,0,0,0,0,1,4.33,5,4.67,0.67,0,0.33
3-13-2023 17:33:08,BITS ,Pilani,Private,BITS ,4,"Engineering, Science, Management, Design and Humanities",No One,4,5,5,4,4,5,4,4,4,2,5,0,0,1,1,0,1,1,1,3,4.67,4.33,3.33,0.33,0.67,1.67
2-25-2023 11:17:38,BITS Pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Management, Design and Humanities",No One,4,5,5,5,1,4,4,5,3,1,3,-2,-2,-2,2,-1,-1,-2,0,2,5,3,3,-2,0,0
2-25-2023 11:20:45,BITS Pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Management, Design and Humanities",Father,3,5,4,3,5,5,4,5,4,1,3,-2,-1,0,-2,-2,-1,-2,-1,2,4,4.67,3.33,-1,-1.67,-0.33
2-25-2023 11:48:27,BITS Pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Management, Design and Humanities",Father,4,5,5,5,5,5,5,5,5,1,4,-1,-1,-1,-1,-1,-1,-1,-1,3,5,5,3.67,-1,-1,0.33
03-03-2023 19:11,BITS Pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Management, Design and Humanities",Father,2,5,5,5,4,3,4,4,4,4,4,-1,-1,-1,0,1,0,0,0,0,5,3.67,4,-1,0.33,0
